TalentFamily,TalentName,NodeID,ProgressionDepth,VisualRow,Rank,Cost,RequiredPathCost,EffectType,RawValue,DisplayedValue,MarginalGain,GainPerPoint,ParentNodeID,BuffID,PatternType,Confidence
LordSkillTree / Physique / Amélioration corporelle I / PV / PV augmentés,PV augmentés 2/3,31100203,1,2,2,NON DÉTERMINÉ,1,IncreaseMHP,100,1%,1%,NON DÉTERMINÉ,31100102,200000088,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / PV / PV augmentés,PV augmentés 3/3,31100203,1,2,3,NON DÉTERMINÉ,1,IncreaseMHP,100,1%,1%,NON DÉTERMINÉ,31100102,200000088,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Attaque / Attaque augmentée,Attaque augmentée 1/3,31100302,2,3,1,1 SpecialPoint,4,AttFR,100,1%,1%,1,"31100201,31100203",200000089,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle I / Attaque / Attaque augmentée,Attaque augmentée 2/3,31100302,2,3,2,NON DÉTERMINÉ,4,AttFR,100,1%,1%,NON DÉTERMINÉ,"31100201,31100203",200000089,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Attaque / Attaque augmentée,Attaque augmentée 3/3,31100302,2,3,3,NON DÉTERMINÉ,4,AttFR,100,1%,1%,NON DÉTERMINÉ,"31100201,31100203",200000089,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Défense / Défense augmentée,Défense augmentée 1/3,31100401,3,4,1,1 SpecialPoint,5,ArmFR,100,1%,1%,1,31100302,200000090,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle I / Défense / Défense augmentée,Défense augmentée 2/3,31100401,3,4,2,NON DÉTERMINÉ,5,ArmFR,100,1%,1%,NON DÉTERMINÉ,31100302,200000090,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Défense / Défense augmentée,Défense augmentée 3/3,31100401,3,4,3,NON DÉTERMINÉ,5,ArmFR,100,1%,1%,NON DÉTERMINÉ,31100302,200000090,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / PV / PV augmentés,PV augmentés 1/3,31100403,3,4,1,1 SpecialPoint,5,IncreaseMHP,100,1%,1%,1,31100302,200000091,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle I / PV / PV augmentés,PV augmentés 2/3,31100403,3,4,2,NON DÉTERMINÉ,5,IncreaseMHP,100,1%,1%,NON DÉTERMINÉ,31100302,200000091,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / PV / PV augmentés,PV augmentés 3/3,31100403,3,4,3,NON DÉTERMINÉ,5,IncreaseMHP,100,1%,1%,NON DÉTERMINÉ,31100302,200000091,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Attaque / Attaque augmentée,Attaque augmentée 1/3,31100502,4,5,1,1 SpecialPoint,8,AttFR,100,1%,1%,1,"31100401,31100403",200000092,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle I / Attaque / Attaque augmentée,Attaque augmentée 2/3,31100502,4,5,2,NON DÉTERMINÉ,8,AttFR,100,1%,1%,NON DÉTERMINÉ,"31100401,31100403",200000092,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Attaque / Attaque augmentée,Attaque augmentée 3/3,31100502,4,5,3,NON DÉTERMINÉ,8,AttFR,100,1%,1%,NON DÉTERMINÉ,"31100401,31100403",200000092,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Défense / Défense augmentée,Défense augmentée 1/3,31100601,5,6,1,1 SpecialPoint,9,ArmFR,100,1%,1%,1,31100502,200000093,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle I / Défense / Défense augmentée,Défense augmentée 2/3,31100601,5,6,2,NON DÉTERMINÉ,9,ArmFR,100,1%,1%,NON DÉTERMINÉ,31100502,200000093,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / Défense / Défense augmentée,Défense augmentée 3/3,31100601,5,6,3,NON DÉTERMINÉ,9,ArmFR,100,1%,1%,NON DÉTERMINÉ,31100502,200000093,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / PV / PV augmentés,PV augmentés 1/3,31100603,5,6,1,1 SpecialPoint,9,IncreaseMHP,100,1%,1%,1,31100502,200000094,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle I / PV / PV augmentés,PV augmentés 2/3,31100603,5,6,2,NON DÉTERMINÉ,9,IncreaseMHP,100,1%,1%,NON DÉTERMINÉ,31100502,200000094,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle I / PV / PV augmentés,PV augmentés 3/3,31100603,5,6,3,NON DÉTERMINÉ,9,IncreaseMHP,100,1%,1%,NON DÉTERMINÉ,31100502,200000094,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 1/3,31101102,0,1,1,1 SpecialPoint,0,CriticalP,33,0.33%,0.33%,0.33,,200000095,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 2/3,31101102,0,1,2,NON DÉTERMINÉ,0,CriticalP,33,0.33%,0.33%,NON DÉTERMINÉ,,200000095,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 3/3,31101102,0,1,3,NON DÉTERMINÉ,0,CriticalP,33,0.33%,0.33%,NON DÉTERMINÉ,,200000095,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 1/3,31101201,1,2,1,1 SpecialPoint,1,ArmPenP,33,0.33%,0.33%,0.33,31101102,200000096,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 2/3,31101201,1,2,2,NON DÉTERMINÉ,1,ArmPenP,33,0.33%,0.33%,NON DÉTERMINÉ,31101102,200000096,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 3/3,31101201,1,2,3,NON DÉTERMINÉ,1,ArmPenP,33,0.33%,0.33%,NON DÉTERMINÉ,31101102,200000096,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 1/3,31101203,1,2,1,1 SpecialPoint,1,ArmPenP,33,0.33%,0.33%,0.33,31101102,200000097,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 2/3,31101203,1,2,2,NON DÉTERMINÉ,1,ArmPenP,33,0.33%,0.33%,NON DÉTERMINÉ,31101102,200000097,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 3/3,31101203,1,2,3,NON DÉTERMINÉ,1,ArmPenP,33,0.33%,0.33%,NON DÉTERMINÉ,31101102,200000097,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 1/3,31101302,2,3,1,1 SpecialPoint,4,CriticalP,33,0.33%,0.33%,0.33,"31101201,31101203",200000098,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 2/3,31101302,2,3,2,NON DÉTERMINÉ,4,CriticalP,33,0.33%,0.33%,NON DÉTERMINÉ,"31101201,31101203",200000098,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 3/3,31101302,2,3,3,NON DÉTERMINÉ,4,CriticalP,33,0.33%,0.33%,NON DÉTERMINÉ,"31101201,31101203",200000098,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 1/3,31101401,3,4,1,1 SpecialPoint,5,ArmPenP,33,0.33%,0.33%,0.33,31101302,200000099,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 2/3,31101401,3,4,2,NON DÉTERMINÉ,5,ArmPenP,33,0.33%,0.33%,NON DÉTERMINÉ,31101302,200000099,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 3/3,31101401,3,4,3,NON DÉTERMINÉ,5,ArmPenP,33,0.33%,0.33%,NON DÉTERMINÉ,31101302,200000099,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 1/3,31101403,3,4,1,1 SpecialPoint,5,ArmPenP,33,0.33%,0.33%,0.33,31101302,200000100,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 2/3,31101403,3,4,2,NON DÉTERMINÉ,5,ArmPenP,33,0.33%,0.33%,NON DÉTERMINÉ,31101302,200000100,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Pénétration de défense % / Pénétration de défense augmentée,Pénétration de défense augmentée 3/3,31101403,3,4,3,NON DÉTERMINÉ,5,ArmPenP,33,0.33%,0.33%,NON DÉTERMINÉ,31101302,200000100,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Réduction des dégâts / Dégâts subis réduits,Dégâts subis réduits 1/3,31101501,4,5,1,1 SpecialPoint,6,DamReduP,33,0.33%,0.33%,0.33,31101401,200000101,A. LISSAGE VISUEL / RENDEMENT CONSTANT,FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle II / Réduction des dégâts / Dégâts subis réduits,Dégâts subis réduits 2/3,31101501,4,5,2,NON DÉTERMINÉ,6,DamReduP,33,0.33%,0.33%,NON DÉTERMINÉ,31101401,200000101,A. LISSAGE VISUEL / RENDEMENT CONSTANT,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Réduction des dégâts / Dégâts subis réduits,Dégâts subis réduits 3/3,31101501,4,5,3,NON DÉTERMINÉ,6,DamReduP,33,0.33%,0.33%,NON DÉTERMINÉ,31101401,200000101,A. LISSAGE VISUEL / RENDEMENT CONSTANT,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Réduction des dégâts / Dégâts subis réduits,Dégâts subis réduits 1/3,31101503,4,5,1,1 SpecialPoint,6,DamReduP,33,0.33%,0.33%,0.33,31101403,200000102,A. LISSAGE VISUEL / RENDEMENT CONSTANT,FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle II / Réduction des dégâts / Dégâts subis réduits,Dégâts subis réduits 2/3,31101503,4,5,2,NON DÉTERMINÉ,6,DamReduP,33,0.33%,0.33%,NON DÉTERMINÉ,31101403,200000102,A. LISSAGE VISUEL / RENDEMENT CONSTANT,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Réduction des dégâts / Dégâts subis réduits,Dégâts subis réduits 3/3,31101503,4,5,3,NON DÉTERMINÉ,6,DamReduP,33,0.33%,0.33%,NON DÉTERMINÉ,31101403,200000102,A. LISSAGE VISUEL / RENDEMENT CONSTANT,FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 1/3,31101601,5,6,1,1 SpecialPoint,7,CriticalP,33,0.33%,0.33%,0.33,31101501,200000103,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 2/3,31101601,5,6,2,NON DÉTERMINÉ,7,CriticalP,33,0.33%,0.33%,NON DÉTERMINÉ,31101501,200000103,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 3/3,31101601,5,6,3,NON DÉTERMINÉ,7,CriticalP,33,0.33%,0.33%,NON DÉTERMINÉ,31101501,200000103,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 1/3,31101603,5,6,1,1 SpecialPoint,7,CriticalP,33,0.33%,0.33%,0.33,31101503,200000104,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 2/3,31101603,5,6,2,NON DÉTERMINÉ,7,CriticalP,33,0.33%,0.33%,NON DÉTERMINÉ,31101503,200000104,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Physique / Amélioration corporelle II / Taux critique / Taux de coup critique augmenté,Taux de coup critique augmenté 3/3,31101603,5,6,3,NON DÉTERMINÉ,7,CriticalP,33,0.33%,0.33%,NON DÉTERMINÉ,31101503,200000104,"A. RENDEMENT CONSTANT, GAIN ET COÛT FIXES",FORTEMENT PROBABLE; coût NON DÉTERMINÉ
LordSkillTree / Éveil du monarque / Vision ombrale / EXRecovery / L'Aube du règne I,L'Aube du règne I,31102102,0,1,1,3 SpecialPoint,0,EXRecovery,1000,1000,1000,NON DÉTERMINÉ,,200000105,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
LordSkillTree / Éveil du monarque / Vision ombrale / EXGainRateAdd / L'Aube du règne II,L'Aube du règne II,31102201,1,2,1,3 SpecialPoint,3,EXGainRateAdd,2000,2000,2000,NON DÉTERMINÉ,31102102,200000106,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
LordSkillTree / Éveil du monarque / Vision ombrale / EXGainRateAdd / L'Aube du règne III,L'Aube du règne III,31102203,1,2,1,3 SpecialPoint,3,EXGainRateAdd,2000,2000,2000,NON DÉTERMINÉ,31102102,200000107,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
LordSkillTree / Éveil du monarque / Vision ombrale / EXGainRateAdd / L'Aube du règne IV,L'Aube du règne IV,31102302,2,3,1,3 SpecialPoint,12,EXGainRateAdd,2000,2000,2000,NON DÉTERMINÉ,"31102201,31102203",200000108,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
LordSkillTree / Éveil du monarque / Vision ombrale / SkillChange / Tranchant des ombres II,Tranchant des ombres II,31102502,4,5,1,3 SpecialPoint,18,SkillChange,1001117000000,1001117000000,1001117000000,NON DÉTERMINÉ,31102402,200000112,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
LordSkillTree / Éveil du monarque / Libération d'âme / SkillChange / Âme du clair de lune I,Âme du clair de lune I,31103301,2,3,1,3 SpecialPoint,6,SkillChange,1001112000000,1001112000000,1001112000000,NON DÉTERMINÉ,31103201,200000118,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
LordSkillTree / Éveil du monarque / Libération d'âme / EnhanceSkillDamage / Présage de destruction II,Présage de destruction II,31103503,4,5,1,3 SpecialPoint,12,EnhanceSkillDamage,1000,1000,1000,NON DÉTERMINÉ,31103403,200000123,NON DÉTERMINÉ,CONFIRMÉ PAR LES GAMEDATA; unité NON DÉTERMINÉE
